id,InventoryNumber,Initials,ExcavationDate,Context,Season,ShapeObject,ShapeDetails,Type,Ware,Material,ProductionPlace,Conservation,Measurements,NbFragments,NbDiscarded,JoinedTo_NbRemarks,DescriptionAndRemarks,Inclusions,Fabric,Glaze,Decoraction_Stamp,Chronology1stImpression,AbsoluteChronology,ToBeDr_Ph,Drawing,Photo,PhotoFabric,Square,Level,ProcessedBy,Zone,Label,Context_Survey_Homogenized
14128,,MP,19-07-13,T13-147-2-D,2013,Cooking pot,wall,,cooking,,Local,Medium,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14129,,MP,19-07-13,T13-147-2-D,2013,Undetermined,wall,,plain,,Local,Poor,,0,15,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14130,,MP,19-07-13,T13-147-2-D,2013,Undetermined,wall,,coarse,,Corinthian,Medium,,0,1,,,,corinthian A,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14131,,MP,19-07-13,T13-147-2-D,2013,Undetermined,undetermined,,,Stone,Undetermined,,,0,1,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14132,,MP,19-07-13,T13-147-2-D,2013,Undetermined,wall,,plain,,Import,Poor,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14133,,MP,19-07-13,T13-147-2-D,2013,Tile,wall,pan,coarse,,Local,Medium,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14134,,MP,19-07-13,T13-147-2-D,2013,Amphora,wall,,plain,,Import,Medium,,2,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14135,,MP,19-07-13,T13-147-2-D,2013,Undetermined,wall,,coarse,,Local,Poor,,4,0,,Prehistoric? To be studied by MN,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14136,TC2013.3014,SC,17-07-13,T13-143-2-D,2013,Basin,profile,,red glazed,,Import,Medium,,1,0,,,,,int,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14137,TC2013.3015,SC,17-07-13,T13-143-2-D,2013,Amphora,rim,,plain,,Rhodian,Good,,1,0,,,,,,,Hellenistic,,ONWAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14138,TC2013.3016,SC,17-07-13,T13-143-2-D,2013,Amphora,neck,,plain,,Import,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14139,TC2013.3017,SC,17-07-13,T13-143-2-D,2013,Tile,wall,cover,black glaze,,Local,Medium,,1,0,,,,,ext,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14140,TC2013.3018,SC,17-07-13,T13-143-2-D,2013,Undetermined,base,,black glaze,,Local,Medium,,1,0,,perhaps a cup,,,int + ext,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14141,TC2013.3019,SC,17-07-13,T13-143-2-D,2013,Open shape,wall,,black glaze,,Local,Medium,,1,0,,,,,int + ext,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14142,TC2013.3020,SC,17-07-13,T13-143-2-D,2013,Amphora,handle,,plain,,Import,Medium,,2,0,1,fresh break,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14143,TC2013.3021,SC,17-07-13,T13-143-2-D,2013,Tile,edge,cover,plain,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14144,TC2013.3022,SC,17-07-13,T13-143-2-D,2013,Cooking pot,knob,,plain,,Import,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14145,TC2013.3023,SC,17-07-13,T13-143-2-D,2013,Tile,edge,cover,black glaze,,Local,Medium,,1,0,,,,,ext,,Archaic/Classical,,WAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14146,TC2013.3024,SC,17-07-13,T13-143-2-D,2013,Tile,edge,cover,coarse,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14147,TC2013.3025,SC,17-07-13,T13-143-2-D,2013,Tile,edge,cover,coarse,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14148,TC2013.3026,SC,17-07-13,T13-143-2-D,2013,Tile,edge,cover,black glaze,,Local,Medium,,1,0,,,,,ext,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14149,TC2013.3027,SC,17-07-13,T13-143-2-D,2013,Tile,edge,cover,black glaze,,Local,Medium,,1,0,,thumb imprint on outside,,,ext,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14150,TC2013.3028,SC,17-07-13,T13-143-2-D,2013,Tile,edge,pan,red glazed,,Local,Medium,,1,0,,,,,ext,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14151,TC2013.3058,SC,17-07-13,T13-143-2-D,2013,Tile,edge,pan,plain,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14152,TC2013.3059,SC,17-07-13,T13-143-2-D,2013,Tile,edge,pan,plain,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14153,TC2013.3060,SC,17-07-13,T13-143-2-D,2013,Tile,edge,pan,plain,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14154,TC2013.3061,SC,17-07-13,T13-143-2-D,2013,Tile,edge,pan,black glaze,,Local,Good,,1,0,,curved edge,,,ext,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14155,,SC,17-07-13,T13-143-2-D,2013,Tile,wall,cover,red glazed,,Local,Medium,,0,3,,,,,ext,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14156,,SC,17-07-13,T13-143-2-D,2013,Tile,wall,cover,black glaze,,Local,Medium,,0,1,,,,,ext,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14157,,SC,17-07-13,T13-143-2-D,2013,Tile,wall,cover,plain,,Local,Medium,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14158,,SC,17-07-13,T13-143-2-D,2013,Amphora,wall,,plain,,Local,Medium,,0,13,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14159,,SC,17-07-13,T13-143-2-D,2013,Amphora,neck,,plain,,Local,Medium,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14160,,SC,17-07-13,T13-143-2-D,2013,Tile,wall,cover,plain,,Local,Medium,,0,13,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14161,,SC,17-07-13,T13-143-2-D,2013,Undetermined,wall,,coarse,,Local,Poor,,2,0,,Prehistoric? To be studied by MN,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14162,,SC,17-07-13,T13-143-2-D,2013,Undetermined,wall,,black glaze,,Local,Poor,,0,2,,,,,ext,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14163,,SC,17-07-13,T13-143-2-D,2013,Undetermined,wall,,plain,,Local,Poor,,0,7,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14164,,SC,17-07-13,T13-143-2-D,2013,Undetermined,wall,,plain,,Import,Medium,,2,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14165,,SC,17-07-13,T13-143-2-D,2013,Tile,wall,pan,plain,,Local,Poor,,0,6,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-143-2
14166,TC2013.3062,ABO,16-07-13,T13-144-2-A,2013,Closed shape,base,,coarse,,Local,Medium,,1,0,,Prehistoric? To be studied by MN,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-144-2
14167,TC2013.3063,ABO,16-07-13,T13-144-2-A,2013,Undetermined,handle,,coarse,,Local,Poor,,1,0,,Prehistoric? To be studied by MN,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-144-2
